ResponseID,A1_Role,A2_Experience,A3_Involvement,A4_Projects,B1_Size,B2_Vendor,B3_Approach,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,I1,I2,I3,I4_Score,J1_Mistakes,J2_Success,J3_Failed,J4_Features,J5_Comments
1,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as project manager / team leader",National single window / trade portal; Customs automation system (e.g. ASYCUDA / national system),"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,3,3,4,3,3,4,3,2,2,2,3,1,2,3,4,3,3,5,4,4,3,4,3,4,4,4,5,4,4,5,3,4,3,2,2,2,4,2,2,3,6,"Unrealistic timelines and budgets set by senior management without consulting technical teams, leading to rushed implementations.","E-payment system pilot at Chittagong port was successful because of strong Additional Commissioner champion who ensured regular stakeholder meetings, phased rollout starting with single location, and continuous C&F agent feedback sessions throughout implementation.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Pilot-first approach mandatory, customs domain expert in vendor team, regular stakeholder forums, clear acceptance criteria per iteration, post-deployment performance monitoring, institutional memory documentation.",Customs should establish a dedicated ICT project management office (PMO) with trained staff. Current ad-hoc approach leads to repeated mistakes. PMO should maintain best practices library and provide guidance to project teams.
2,BCS (Customs & VAT) cadre officer,0-5 years,"Yes, as core project team member",Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,3,2,2,3,3,3,2,2,3,2,2,2,4,5,4,4,4,3,4,5,5,3,5,4,4,3,4,5,5,4,4,4,3,2,3,5,3,3,2,7,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Electronic bond management system succeeded at Dhaka Customs House due to strong support from Commissioner, weekly progress reviews, and vendor team that understood customs procedures well.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
3,ICT / IT professional (vendor / private firm),6-10 years,"Yes, as project manager / team leader",Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; Risk management / risk scoring system; E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,"Mainly agile / iterative (short sprints, incremental delivery)",4,3,3,2,3,3,3,3,4,3,3,3,2,4,5,4,5,4,4,5,5,4,5,4,5,5,4,4,4,3,4,3,4,3,2,2,3,4,3,4,7,Inadequate budget allocation for proper testing and quality assurance. Projects are rushed to meet unrealistic deadlines.,"E-payment system pilot at Chittagong port was successful because of strong Additional Commissioner champion who ensured regular stakeholder meetings, phased rollout starting with single location, and continuous C&F agent feedback sessions throughout implementation.","AI-based anomaly detection system had high false positive rates, vendor abandoned project mid-way due to payment delays, and customs lacked technical capacity to maintain it. System is now non-functional.","Clear acceptance criteria for each iteration, user-centered design workshops with officers and traders, vendor lock-in protection through source code escrow, post-implementation monitoring framework, agile procurement mechanisms.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
4,Other NBR/customs official,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Risk management / risk scoring system; E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Small (less than 6 months, small project team)",High - primarily vendor-driven,No formal method was specified,3,2,2,3,3,3,3,2,3,2,4,3,2,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,4,2,1,2,5,2,2,3,7,Poor coordination between customs operational teams and ICT teams. They work in silos without proper communication channels.,"Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","Comprehensive cargo tracking system failed because GPS devices were not properly maintained, data transmission was unreliable, and officers didn't trust the system preferring manual verification methods.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
5,Other NBR/customs official,6-10 years,"Yes, as core project team member",National single window / trade portal; E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system),"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,3,3,2,3,3,2,3,3,3,2,2,3,5,5,5,5,5,5,4,5,4,4,4,5,3,4,5,5,5,4,4,5,2,2,1,5,2,2,2,7,Weak change management and training. Systems are deployed but officers continue using old methods because training is insufficient and support is lacking.,"Automated invoice verification module worked because it was piloted with 5 large importers first, their feedback was incorporated, and then gradually expanded to all traders over 8 months.","AI-based anomaly detection system had high false positive rates, vendor abandoned project mid-way due to payment delays, and customs lacked technical capacity to maintain it. System is now non-functional.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
6,ICT / IT professional (government),More than 15 years,"Yes, as project manager / team leader",Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,2,2,3,1,2,2,2,3,2,3,4,3,2,5,4,4,5,3,4,2,3,4,5,3,4,4,4,5,5,5,5,5,5,2,2,3,4,3,4,5,5,"Unrealistic timelines and budgets set by senior management without consulting technical teams, leading to rushed implementations.","Single window integration for textile imports succeeded because of co-creation workshops with traders, adequate training provided before rollout, and effective helpdesk support during initial months.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.",Officer training in modern project management methods is critical. Many officers managing ICT projects have no formal PM training. Also need better procurement mechanisms that allow iterative development.
7,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,No formal method was specified,2,3,2,2,3,3,2,3,3,3,2,2,3,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,3,3,3,4,3,4,3,7,Over-reliance on external vendors without proper knowledge transfer and capacity building. Customs officers are left dependent on vendors even after project completion.,"Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","Advanced AI-based risk analytics system failed because vendor didn't understand local customs procedures, poor data integration with ASYCUDA system, and officers maintained parallel manual systems defeating the purpose. Project delayed 3 years and never fully operational.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.",Customs should establish a dedicated ICT project management office (PMO) with trained staff. Current ad-hoc approach leads to repeated mistakes. PMO should maintain best practices library and provide guidance to project teams.
8,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as project manager / team leader",Risk management / risk scoring system; National single window / trade portal,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,3,4,4,4,2,2,2,5,Ignoring user feedback during implementation. End-user concerns are dismissed as resistance to change rather than legitimate usability issues.,"Electronic bond management system succeeded at Dhaka Customs House due to strong support from Commissioner, weekly progress reviews, and vendor team that understood customs procedures well.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","Traders and C&F agents should be involved much earlier in projects, not just at testing phase. Their input during requirements and design phases would prevent many usability issues that cause low adoption rates."
9,ICT / IT professional (vendor / private firm),More than 15 years,"Yes, as core project team member",Risk management / risk scoring system; National single window / trade portal,"Large (multi-year, national rollout)",High - primarily vendor-driven,No formal method was specified,3,3,4,3,2,2,3,2,5,4,3,5,4,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,3,3,3,5,3,4,3,6,Poor communication between customs stakeholders and vendor teams. Key decisions are delayed because decision-makers are not available.,"E-declaration system for specific commodity category succeeded because of limited scope initially, strong project governance with clear decision-makers, and effective change management communication.","Advanced AI-based risk analytics system failed because vendor didn't understand local customs procedures, poor data integration with ASYCUDA system, and officers maintained parallel manual systems defeating the purpose. Project delayed 3 years and never fully operational.","Dedicated change management officer from project start, training budget allocated upfront (not as afterthought), helpdesk setup before go-live, post-implementation support for minimum 6 months, lessons learned documentation after each phase.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
10,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",National single window / trade portal; E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system),"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),3,3,2,3,1,1,2,3,1,2,2,3,3,4,3,4,4,3,4,4,3,4,4,4,5,4,4,4,4,5,5,4,4,1,1,3,4,4,5,4,7,"Unrealistic timelines and budgets set by senior management without consulting technical teams, leading to rushed implementations.","E-payment system pilot at Chittagong port was successful because of strong Additional Commissioner champion who ensured regular stakeholder meetings, phased rollout starting with single location, and continuous C&F agent feedback sessions throughout implementation.","Automated classification system failed because AI model was trained on foreign data that didn't match Bangladesh tariff structure, poor accuracy led to disputes, and system was eventually abandoned.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.","We need institutional memory - every project starts from zero. Also need career incentives for officers managing ICT projects, not just revenue collection. Framework should force continuous dialogue between technical teams and field operations."
